a	á
sílikons	silíkons
Símons	Símonar
Síngapúr	Singapúr
sínni	sinni
sínur	sínum
sísvona	sisona
síðastlinn	síðastliðinn
síðastliði	síðastliðið
síðastliðinum	síðastliðnum
síðastu	síðustu
síðata	síðasta
síðsta	síðasta
síðstliðinn	síðastliðinn
síðstu	síðustu
síðsutu	síðustu
síðus	síðust
síðusta	síðasta
síðusut	síðustu
Sófakarteflan	Sófakartaflan
sólarhing	sólarhring
sólarmeginn	sólarmegin
sómalskan	sómalískan
sómalskir	sómalískir
Sómalskir	Sómalískir
sómalskur	sómalískur
sómað	sæmt
sómölsk	sómalísk
Sómölsk	Sómalísk
söfnunni	söfnuninni
sölunar	sölunnar
Sönkonan	Söngkonan
sönnungargögn	sönnunargögn
sönnungargögnum	sönnunargögnum
Súkkalaðikaka	Súkkulaðikaka
Súrheystrun	Súrheysturn
sýrlandsher	Sýrlandsher
sýst	síst
t.a.m	t.a.m.
t.d	t.d.
T.d	T.d.
tad	það
Tadjikistan	Tadsíkistan
Tadsíkistan	Tadsíkistan
takst	takt
Talverður	Talsverður
talverður	talsverður
tar	þar
taskna	taska
Tatörum	Töturum
tboði	tboði
td	t.d.
teki	tekið
tekjukatt	tekjuskatt
tekknó	teknó
tekð	tekið
telft	teflt
telj	telja
tengingnum	teningnum
tengls	tengsl
tenglsum	tengslum
teyja	teygja
Thailandi	Taílandi
Thailands	Taílands
Theadór	Theodór
Theodora	Theódóra
Thorodssen	Thoroddssen
thvi	því
tifellum	tilfellum
tikynningu	tilkynningu
tilhneygingu	tilhneigingu
tilkyningu	tilkynningu
tilkynninguni	tilkynningunni
tilkynnningu	tilkynningu
tillagana	tillaganna
tillkynningu	tilkynningu
tillliti	tilliti
tilllögu	tillögu
tilllögur	tillögur
tillögunar	tillögunnar
tiln	tiln.
tilraunverkefni	tilraunaverkefni
tilögunni	tillögunni
tima	tíma
timían	timjan
timíani	timjani
Tindr	Tinder
titilinum	titlinum
tið	tíð
tjáningarfrelsins	tjáningarfrelsisins
tjórn	stjórn
tjórnvöld	stjórnvöld
tli	til
tll	til
tok	tók
Tokýó	Tókýó
Tollskrárnr	Tollskrárnar
topinn	toppinn
Torinó	Tórínó
Torínó	Tórínó
toxoplasmi	toxóplasma
trajágrein	trjágrein
trampolíngarð	trampólíngarð
traustins	traustsins
Tripoli	Trípólí
Trykja	Tyrkja
tréin	trén
tréið	tréð
Trömsö	Tromsö
trúverðugari	trúverðugri
trúverðuleika	trúverðugleika
Tsjetsníu	Tsjetsjeníu
tsk	tsk.
tugthúsið	tukthús
Tump	Trump
Tungnárjökuls	Tungnaárjökuls
tungslins	tunglsins
tur	tug
turmerik	túrmerik
tuttuga	tuttugu
tuttugusta	tuttugasta
tvegga	tveggja
tveimir	tveimur
tvem	tveim
tvemur	tveimur
tvisar	tvisvar
tví	því
tvíelfdir	tvíefldir
tvöfallt	tvöfalt
tvölfalt	tvöfalt
tækvondo	taíkvondó
Téteníu	Tsjetsjeníu
Téténa	Tsjetsjena
Téténar	Tsjetsjenar
téténsku	tsjetsjensku
Téténía	Tsjetsjenía
Téténíu	Tsjetsjeníu
tíamtökuna	tímatökuna
tífallt	tífalt
tígrísdýr	tígrisdýr
tíl	til
tímabilð	tímabili
tímabundar	tímabundnar
tískuverðlaunana	tískuverðlaunanna
tíðindu	tíðindi
tógóískar	tógóskar
tóks	tókst
Tókíó	Tókýó
Tókíóborgar	Tókýóborgar
Tókýo	Tókýó
tómatpuré	tómatpúrra
tómatpúre	tómatpúrra
tómatpúré	tómatpúrra
tóskt	tókst
tóst	tókst
tölvert	töluvert
tölvuskjám	tölvuskjáum
töpudum	töpuðum
Túngumál	Tungumál
túnísku	túniskur
túrmeriki	túrmerik
Týrol	Týról
u.þ.b	u.þ.b.
umdaemin	umdæmin
umf	umf.
Umf	Umf.
umferði	umferðir
Umfjölllun	Umfjöllun
umfjöllunnar	umfjöllunar
umfjöllunni	umfjölluninni
umhverfisraduneyti	umhverfisráðuneyti
Umhverfisstofunar	Imhverfisstofnunar
umjöllun	umfjöllun
umskurðsbanni	umskurðarbanni
umsækendur	umsækjendur
undankeppi	undankeppni
undanskildri	undanskilinni
undartekning	undantekning
undibúningi	undirbúningi
undirbúing	undirbúning
undirbúningu	undirbúningur
undirtekir	undirtektir
undnafarin	undanfarin
Unversal	Universal
updráttar	uppdráttar
uppbygginu	uppbyggingu
uppbygingu	uppbyggingu
uppgvötun	uppgötvun
uppgvötvaði	uppgötvaði
upphýfingum	upphífingum
upplýsinar	upplýsingar
upplýsingaskjám	upplýsingaskjáum
upplýsinum	upplýsingum
upprunin	uppruninn
uppskirft	uppskrift
uppskrfit	uppskrift
uppýsingar	upplýsingar
uppýsingum	upplýsingum
ut	út
uta	utan
utanaðakomandi	utanaðkomandi
utann	utan
utanríksiráðherra	utanríkisráðherra
utanríksráðherra	utanríkisráðherra
utgafa	útgáfa
Utvortis	Útvortis
uþb	u.þ.b.
Valdis	Valdís
Valgardur	Valgarður
valkosts	valkostar
Valkosts	Valkostar
vallarsins	vallarins
vandaðari	vandaðri
vandmál	vandamál
vandmálið	vandamálið
varafli	varaafli
varformaður	varaformaður
varmarmaður	varnarmaður
varmaður	varamaður
Vatikaninu	Vatíkaninu
Vatikanið	Vatíkanið
Vegagerðarinar	Vegagerðarinnar
Vegagerðinnar	Vegagerðarinnar
vegn	vegna
veir	tveir
veirð	verið
veitingstaði	veitingastaði
veiðgjöld	veiðigjöld
vekji	veki
vekjir	vekir
venga	vegna
vennalandsliðið	kvennalandsliðið
verid	verið
verkefnsins	verkefnisins
verrra	verra
verðlaunafhendingarinnar	verðlaunaafhendingarinnar
verðlaunaféið	verðlaunaféð
verðlaunfé	verðlaunafé
verðuru	verðurðu
Vestfjarðar	Vestfjarða
Vestfjarðargöng	Vestfjarðagöng
Vestfjarðarkjálkanum	Vestfjarðakjálkanum
Vestfjarðarstofu	Vestfjarðastofu
Vestfjarðarveg	Vestfjarðaveg
Vestmananeyjum	Vestmannaeyjum
Vestmannaey	Vestmannaeyjar
Vestmannaeyjarferju	Vestmannaeyjaferju
Vestmannaeyjargosinu	Vestmannaeyjagosinu
Vestmanneyjum	Vestmannaeyjum
veturnar	veturna
veturs	vetrar
vetursins	vetrarins
vetvangi	vettvangi
vibótar	viðbótar
vid	við
Vidar	Viðar
videó	vídeó
Vigdis	Vigdís
Viglundsson	Víglundsson
Vihjálmur	Vilhjálmur
Viktoriu	Viktoríu
vikunar	vikunnar
Vilhjámsson	Vilhjálmsson
Vilhjámur	Vilhjálmur
viljan	viljann
vilta	villta
viltra	villtra
viltum	villtum
vinnumarkaðrins	vinnumarkaðarins
vinnunar	vinnunnar
Vinsti	Vinstri
vinsti	vinstri
vinstursins	vinstrisins
vinsældra	vinsælda
Virginu	Virginíu
Virgínu	Virginíu
virðst	virst
virðst	virðist
visvítandi	vísvitandi
viðali	viðtali
viðkurkenning	viðurkenning
viðkæma	viðkvæma
viðrbrögð	viðbrögð
Viðreisna	Viðreisnar
viðundandi	viðunandi
viðverandi	viðvarandi
Vlija	Vilja
vonbriðgum	vonbrigðum
vonbriði	vonbrigði
vopnaðara	vopnaðra
vorkun	vorkunn
Vouge	Vogue
vsk	vsk.
Vutton	Vuitton
vvl	vvl.
vændisstarfssemi	vændisstarfsemi
víbrator	víbrador
víkji	víki
vínýl	vínil
vítapsyrnu	vítaspyrnu
víðfem	víðfeðm
víðfemd	víðfeðm
víðfemdar	víðfeðmar
víðfemdir	víðfeðmir
víðfemdur	víðfeðmur
víðfemt	víðfeðmt
vði	við
völlin	völlinn
yfi	yfir
yfirýsingar	yfirlýsingar
yfr	yfir
yrir	fyrir
yrrverandi	fyrrverandi
yrsta	fyrsta
ábygð	ábyrgð
áfam	áfram
áfarm	áfram
áfarmhaldandi	áframhaldandi
áftur	aftur
ágætist	ágætis
ágætla	ágætlega
áhirf	áhrif
áhri	áhrif
ákv	ákv.
ákvarðanartöku	ákvörðunartöku
ákvarðnir	ákvarðanir
ákvaðanir	ákvarðanir
ákvaðu	ákváðu
ákvörun	ákvörðun
ákvörðu	ákvörðun
ákvörðunni	ákvörðuninni
ákvöðrun	ákvörðun
ákörðun	ákvörðun
ángæður	ánægður
ánnar	annar
ánægur	ánægður
áras	árás
áratuginum	áratugnum
áratugs	áratugar
áratugsins	áratugarins
árins	ársins
Árnasson	Árnason
ársfjórðunginum	ársfjórðungnum
árverkni	árvekni
árángur	árangur
árð	árið
ásam	ásamt
áskana	ásakana
áskanirnar	ásakanirnar
Ásmunds	Ásmundar
átakana	átakanna
átjan	átján
átjanda	átjánda
átjá	átján
ávaxtardrykkur	ávaxtadrykkur
ávörðun	ákvörðun
áðann	áðan
áðdáandi	aðdáandi
áðgjafi	ráðgjafi
æfina	ævina
Ægissdóttir	Ægisdóttir
ætl	ætli
ætlaru	ætlarðu
ættingum	ættingjum
ættiru	ættirðu
élag	félag
élagið	félagið
éljagagnur	éljagangur
étt	rétt
íBV	ÍBV
ÍBv	ÍBV
íbúm	íbúum
Íhaldsflokkinum	Íhaldsflokknum
Íkea	Ikea
íkið	ríkið
íkt	líkt
íllt	illt
Írakstríðinu	Íraksstríðinu
Ísam	ÍSAM
Ísavía	Isavia
ísl	ísl.
Ísl	Ísl.
ísl.kr.	ísl. kr.
Ísla	Ísland
Íslan	Ísland
Íslandsmeistar	Íslandsmeistari
Íslans	Íslands
ísle	Íslendingum
Íslendignar	Íslendingar
Íslendignur	Íslendingur
íslenka	íslenska
íslenksa	íslenska
Ísreal	Ísrael
Ítalarnir	Ítalir
Ítaliu	Ítalíu
Ítalí	Ítalíu
ítekað	ítrekað
ðalmeðferð	aðalmeðferð
ðan	áðan
ðað	að
óhemilt	óheimilt
óhullt	óhult
ÓIafur	Ólafur
ókeipis	ókeypis
Ólafia	Ólafía
ólani	óláni
ólk	fólk
Ólympíuleiknum	Ólympíuleikunum
ópíumi	ópíum
óreganói	óreganó
óstýrláti	óstýrilátri
Ótarr	Óttarr
Óttarri	Óttari
Óttarrs	Óttars
Óttarson	Óttarsson
óumflýjanleik	óumflýjanleika
óvissunar	óvissunnar
óviðundandi	óviðunandi
óöryggir	óöruggir
öflugara	öflugra
öflugari	öflugri
ögreglan	lögreglan
ögreglumenn	lögreglumenn
ögreglunni	lögreglunni
ökklan	ökklann
öldungardeild	öldungadeild
Öldungardeild	Öldungadeild
öldungardeildar	öldungadeildar
öldungardeildarinnar	öldungadeildarinnar
öldungardeildarþingmann	öldungadeildarþingmann
öldungardeildarþingmanna	öldungadeildarþingmanna
öldungardeildarþingmanni	öldungadeildarþingmanni
öldungardeildarþingmanns	öldungadeildarþingmanns
öldungardeildarþingmaðurinn	öldungadeildarþingmaðurinn
Öldungardeildarþingmaðurinn	Öldungadeildarþingmaðurinn
öldungardeildarþingmenn	öldungadeildarþingmenn
öldungardeildarþingmönnum	öldungadeildarþingmönnum
öldungardeildinni	öldungadeildinni
ölllu	öllu
ölllum	öllum
öllun	öllum
ölvunnar	ölvunar
örbrigð	örbirgð
örggum	öruggum
öryggan	öruggan
öryggir	öruggir
öryggt	öruggt
örðugara	örðugra
Össurrar	Össurar
Össurri	Össuri
öðruvísu	öðruvísi
Úkraníu	Úkraínu
Úkrænu	Úkraínu
Úlfarsársdal	Úlfarsárdal
Úlfarársdal	Úlfarsárdal
úrsiltum	úrslitum
úrskeðis	úrskeiðis
úrsl	úrsl.
úrslitakeppnini	úrslitakeppninni
Úrsula	Úrsúla
Úrugvæ	Úrúgvæ
úrvalsdeildnini	úrvalsdeildinni
úrvalseildinni	úrvalsdeildinni
Úrúgvæa	Úrúgvæja
Úrúgvæar	Úrúgvæjar
Úrúgvæum	Úrúgvæjum
útblástri	útblæstri
útjarðri	útjaðri
útjaður	útjaðar
útsendinu	útsendingu
útsjónasemi	útsjónarsemi
útttekt	úttekt
ýmissra	ýmissa
þ.e	þ.e.
þ.e.a.s	þ.e.a.s.
þ.m.t	þ.m.t.
þ.á	þ.á.
þanig	þannig
þanng	þannig
þanngað	þangað
þe	þ.e.
þea	þ.e.a.s.
þear	þegar
þeas	þ.e.a.s.
þei	þeir
þeira	þeirra
þeirar	þeirrar
þeiri	þeirri
þeirr	þeirra
þeirrra	þeirra
þeitta	þetta
þem	þeim
þenna	þennan
þennann	þennan
þennna	þennan
þer	þér
þes	þess
þesa	þessa
þesar	þessar
þesara	þessarra
þesari	þessari
þessarra	þessara
þessarrar	þessarar
þessarri	þessari
þessm	þessum
þessra	þessar
þessri	þessari
þesss	þess
þesssa	þessa
þesssu	þessu
þesum	þessum
þesus	þessu
Þett	Þetta
þett	þetta
þettta	þetta
Þettta	Þetta
þgear	þegar
þikir	þykir
þin	þín
þingins	þingsins
þingkosningnum	þingkosningunum
þjáfari	þjálfari
þjáflari	þjálfari
þjár	þrjár
þjófinum	þjófnum
þjónstu	þjónustu
þjónust	þjónustu
þjóðgarðarins	þjóðgarðsins
Þjóðhátið	Þjóðhátíð
þjóðhöfðinga	þjóðhöfðingja
þjú	þrjú
þo	þó
Þorkafjarðar	Þorskafjarðar
Þorkells	Þorkels
Þorkellsdóttir	Þorkelsdóttir
Þorl	Þorl.
Þorsteinssdóttir	Þorsteinsdóttir
þrautsegju	þrautseigju
þrefallt	þrefalt
þrettan	þrettán
þri	þri.
þrigga	þriggja
þriggjastiga	þriggja stiga
Þrir	Þrír
þrir	þrír
þriðjuhluta	þriðju hluta
þriðjuhlutar	þriðju hlutar
þrjatíu	þrjátíu
þrju	þrjú
þroskaðari	þroskaðri
þrufum	þurfum
Þrándarsson	Þrándarson
þrátíu	þrjátíu
Þróttr	Þróttur
þrú	þrjú
þu	þú
þurf	þurfi
þurfu	þurftu
þurt	þurrt
þvi	því
þvílikt	þvílíkt
þvíæ	því
þyggja	þiggja
þyrfi	þyrfti
þát	þátt
þáttaka	þátttaka
Þáttaka	Þátttaka
þáttakanda	þátttakanda
þáttakandann	þátttakandann
þáttakandans	þátttakandans
þáttakandanum	þátttakandanum
þáttakandi	þátttakandi
þáttakandinn	þátttakandinn
þáttakenda	þátttakenda
þáttakendanna	þátttakendanna
þáttakendum	þátttakendum
þáttakendunum	þátttakendunum
þáttakendur	þátttakendur
þáttakendurna	þátttakendurna
þáttakendurnir	þátttakendurnir
þáttöku	þátttöku
þættinu	þættinum
Þða	Það
Þórhallson	Þórhallsson
Þórlákshöfn	Þorlákshöfn
Þórmörk	Þórsmörk
Þórðarsson	Þórðarson
Þórðarssonar	Þórðarsonar
Þórðarssyni	Þórðarsyni
Þórðason	Þórðarson
Þórðs	Þórðar
þöggunnar	þöggunar
þús	þús.
þúsundur	þúsundir
Þýslalandi	Þýskalandi
